başlık,özet,tür,vizyon_tarihi,oyuncular,yönetmen,resim_link
Geleceğe Dönüş 2,"Fırlama Marty ile çılgın bilim adamı dostu Dr. Brown için, bir kez daha zaman makinesine çevirdikleri DeLorean’a başvurma zamanı. Marty bu kez 2015’e gidip henüz doğmamış çocuğuna yardım etmek zorunda kalacak. Elbette bunu yaparken ortalığı karıştıp zamanın dokusuna ve düzenine zarar verecek.Dostumuz, yol açtığı sorunları çözmek için yeniden geçmişe, sonra da geleceğe gidip gelecek. 50’lere döndüğünde, ilk serüvendeki sahnelerin bazılarını yeniden yaşama fırsatı bulacak ama bu kez başka birinin gözünden!Zemeckis’in müthiş bir başarı kazanan 1985 yapımı Geleceğe Dönüş’ünün döneceğinden kimsenin şüphesi yoktu ama hiç kimse de bu kadar eğlenceli bir devam filmi beklemiyordu. Aynı kadro, aynı espri anlayışı ve bu kez biraz farklı bir tarih şeridi...Ç.K.","['Bilimkurgu', 'Macera', 'Komedi']",None,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",['Robert Zemeckis'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/5247.jpg
Süt Kardeşler,"Herkesin hayal ettiği ancak kimselerin sahip olamadığı bir konağın sahibi olan Melek Hanım, Şaban’ın arkadaşı Ramazan’ı, sütoğlu olan Şaban ile karıştırınca eve alır. Maço Abisi Hüsamettin’e ise eve aldığı Ramazan’ı damadı olarak tanıtacaktır. Gün gelince konağa gerçek Şaban gelecektir ve o andan itibaren hiçbir şey eskisi gibi olmayacaktır.Ertem Eğilmez’in Hüseyin Rahmi Gürpınar’ın Gulyabani isimli romanından uyarladığı filmi, içinde barındırdığı kült anlarıyla Türk sineması üzerinde en çok iz bırakan eserlerden bir tanesidir.",['Komedi'],7 Kasım 2021,"['Hale Soygazi', 'Şener Şen', 'Adile Naşit']",['Ertem Eğilmez'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/186849.jpg
Titanik,"Dünyanın hatırlamak istemediği türden felaketlerden olan 'Titanik faciası', dev prodüksiyonların yönetmeni James Cameron tarafından çekilen görkemli bir film. Teknolojinin son sürat ilerlediği bir dönemde, insanlar üstesinden gelemeyecekleri hiç bir sorun olamayacağına inanmaya başlamışlardır. 'Titanic' adlı dev transatlantik ise, insanlığın doğaya karşı gövde gösterisi gibidir. Bu 'Düşler Gemisi' nin yolcuları arasında Avrupa`da birkaç yıl geçirdikten sonra Amerika'ya dönmekte olan, Jack adlı genç bir ressam ile nişanlısı ve annesiyle Philadelphia`ya giden Rose adlı genç bir kız da vardır. İki genç, şans eseri tanışacak, aralarındaki sınıf farkına aldırmaksızın birbirlerine yakınlaşacaktır. Bu arada doğa insanoğlunun günden güne artan kibirine bir nokta koymayı planlamaktadır. Yola çıkılmasından dört buçuk gün sonra, 10 Nisan 1912'de, Titanic iki saat kırk dakika süren ve sulara gömülmesiyle son bulan, hazin olayların başlamasına neden olacak buz dağına çarpacaktır. James Cameron'un, seyirciye bir zaman makinesiyle yolculuk ettiği hissini uyandırırcasına gerçeğe yakın filmi 'Titanic' tam 14 dalda Oscar adayı olarak 'En İyi Film' dahil 11 ödülü kazanmıştı. Efsanevi film 15 yıl sonra 3D teknolojisi ile 6 Nisan 2012'de yeniden sinemalara dönüyor.","['Dram', 'Romantik']",6 Nisan 2012,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']",['James Cameron'],https://tr.web.img3.acsta.net/c_310_420/medias/nmedia/18/89/86/41/20070382.jpg
Prestij,"Prestij, birbirini alt etmeye çalışan iki sihirbazın hikayesini anlatıyor. 19.yy sonlarında Londra’da Robert Angier, sevgili eşi Julia McCullough ve Alfred Borden hem arkadaştırlar hem de bir sihirbazın asistanlarıdırlar. Bir gösteri esnasında Julia ölünce Robert, onun ölümünden Alfred’i suçlar ve birbirlerine düşman olurlar. Zaman içinde ikisi de hem ünlü olurlar hem de rakip sihirbazlara dönüşerek birbirlerinin sahne üstünde performansını sabote etmeye kalkışırlar. Alfred başarılı bir hile yapınca Robert, rakibinin sırrını çözmek konusunu takıntı halinde getirir ve trajik olaylar birbirini kovalar.","['Gerilim', 'Dram']",22 Aralık 2006,"['Hugh Jackman', 'Christian Bale', 'Michael Caine']",['Christopher Nolan'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/108998.jpg
Kadın Kokusu,"Bir kolej öğrencisi olan Charlie, paraya ihtiyacı olduğundan kör bir adama, bir nevi 'bebek bakıcılığı' yapmaya razı olur ama iş, umduğu kadar basit olmayacaktır. Çünkü Emekli Albay Frank Slate’in haftasonu için çok özel bir planı vardır.Bu plana yolculuk, kadınlar, iyi bir yemek, birinci kalite şarap, tango, limuzin ve ne yazık ki, bir de 45’lik dahildir. İşin kötüsü, bunları yaparken Charlie’yi yanından ayırmaya da hiç niyeti yoktur.Al Pacino’nun unutulmaz bir karakter çizdiği film, aslında 1974 yapımı İtalyan Profumo di Donna’nın yeniden çekimi. Yine de, bir çoklarına göre orijinalini aratmayacak derecede iyi. Tango sahnesine dikkat.",['Dram'],15 Ağustos 2021,"['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn']",['Martin Brest'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/31052.jpg
Buz Devri,"Buzul çağı, dünyaya hüküm sürmeye başlamıştır. Bu ıssız ve korkunç dünyada bir başlarına olan zavallı hayvanlar, bir şekilde hayatta kalmanın yollarını aramaktadırlar. Uzun tüylü, kendi halinde bir mamut; karizmatik ve dişli bir kaplan ve muzır bir rakun, nasıl olduysa bu kaos esnasında bir araya gelmişlerdir. Bu üç birbirinden farklı türe mensup hayvanın odağında ise tek bir mevzu vardır. Buldukları küçük bebeği, insanlara ulaştırıp o bebeğin hayatını kurtarmak...","['Komedi', 'Animasyon']",31 Ocak 2003,"['Ray Romano', 'John Leguizamo', 'Denis Leary']","['Chris Wedge', 'Carlos Saldanha']",https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/35784.jpg
Tosun Paşa,"Osmanlı döneminde iki düşman aile olan Tellioğulları ve Seferoğulları, Yeşilvadi adındaki bölge için rekabet halindedir. İki aile, vadiyi ele geçirebilmek için Daver Bey adlı üst düzey bir devlet memurunun kızı Leyla'yı oğullarına isterler ve Daver Bey kızını Seferoğulları'na vermeye karar verir.Hal böyle olunca Tellioğulları da evin uşağı Şaban'ı en sözü geçen paşa olan Tosun Paşa kılığına sokar. Fakat ne yazık ki Şaban Leyla'ya âşık olur ve her şeyi mahveder. Gerçek Tosun Paşa gelince de işler iyice karışır.Oyuncu ve yönetmen Kartal Tibet’in yönetmenliğini üstlendiği yapım, bol güldürü unsurları içeren, eğlenceli ve kadrosu sağlam bir film.",['Tarihi'],None,"['Şener Şen', 'Müjde Ar', 'Adile Naşit']",['Kartal Tibet'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/186522.jpg
Akıl Oyunları,"Akıl Oyunları, asosyal bir matematikçi olan John Nash'in hayatını konu ediyor. John Forbes Nash azandığı bir bursla Princeton Üniversitesi'nde öğrenim görmeye başlar. Bu süreçte parlak zekasını her daim hissettiren ve çevresindekilerle uyum sorunu yaşayan dahi Nash, inanılmaz bir teoriyi ortaya sürüp kanıtlama aşamasına kadar gelir. Böylece matematik çevrelerince ününü yayan dahi adam zamanla şizofrenik belirtilerle mücadele etmeye başlar. Nash artık kendi kurgusal gerçekliklerinden oluşturduğu dünyasıyla asıl gerçekleri ayırt edemeyecek bir aşamaya gelir. Önemli başarılarından uzunca yıllar sonra Nobel Ödülü'ne layık görülen ünlü matematikçi John Nash'in gerçek hayat hikayesine odaklanan 'Akıl Oyunları', iki önemli dalda kazandığı Oscar ödülüyle başarısını kanıtlamıştı.",['Dram'],8 Mart 2002,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']",['Ron Howard'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/28384.jpg
Neşeli Günler,"Kazım Efendi ve Saadet Hanım altı çocuklarıyla birlikte yaşayan ve geçimini turşucu dükkanlarından sağlayan ve sürekli atışan bir karı kocadır. Bir gün küçük tartışmaları büyür ve Kazım Efendi üç çocuğuyla birlikte evden çekip gider. İkisi de alttan almayınca ve Saadet Hanım da evden taşınıp izini kaybettirince yıllar süren ayrılık kaçınılmaz olur.Kardeşler büyüyüp çalışacak yaşa geldiğinde, bir gün kardeşlerden Ahmet ve Mehmet aynı kızın ikisini aynı anda idare ettiğini fark edip birbirlerine girer; fakat onları amcaları Ziya ayırır ve gerçeği söyler. Böylece altı kardeş tekrar bir araya gelir ve anne babayı tekrar bir araya getirme planları yapmaya başlarlar?Yeşilçam'ın duygu yüklü bir aile komedisi olan Neşeli Günler, başta büyük usta Şener Şen olmak üzere tüm kadronun muhteşem bir performans gösterdiği sıcacık bir film.","['Dramatik komedi', 'Aile', 'Romantik']",None,"['Gökhan Mete', 'Münir Özkul', 'Adile Naşit']",['Orhan Aksoy'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/186877.jpg
Terminatör 2: Mahşer Günü,"Terminatör 2: Mahşer Günü, 2009 yılında geçmektedir. Sarah Connor’ı öldürme görevinde başarısızlığa uğrayan Synet robotları, T-1000 adında yeni bir robot üretirler. Bu yeni “Terminatör” geçmişe dönerek insan direnişinin gelecekteki lideri olacak Sarah’ın oğlu John Connar’ı öldürmeye programlanır. Fakat bir diğer robot T-800 de John’u korumaya programlanarak geçmişe gönderilmiştir. İnsanoğlunun kaderini belirleyen tek bir soru vardır: İki robottan hangisi John’u daha önce bulacaktır?  Yönetmen koltuğunda ‘Alien’, ‘Titanic’ ve ‘Avatar’ gibi kült filmlerin usta yönetmeni James Cameron; başrollerinde ise ilk filmdeki gibi Arnold Schwarzenegger ve Linda Hamilton var.","['Bilimkurgu', 'Aksiyon']",25 Ağustos 2017,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",['James Cameron'],https://tr.web.img2.acsta.net/c_310_420/pictures/17/05/17/16/37/083713.jpg
Şabanoğlu Şaban,"Şaban Oğlu Şaban, aynı yerde askerlik yapan iki arkadaş Şaban ve Ramazan’ın askerlik esnasında ve sonrasında başlarına gelen rastlantısal olaylara karşı verdikleri tatlı mücadeleye odaklanır. Şaban’ın sakarlıkları yüzünden komutan Hüsamettin defalarca yaralanmış, iyice çileden çıkmıştır. Askerlik bittiğinde, bir gazinoda çalgıcı olarak işe giren ikili, tesadüf eseri bir suçlunun yakalanmasını sağladıklarında Nazır Paşa tarafından gizli polis olarak atanırlar. Nazır Paşa ve ailesini ziyaret ettikleri bir gece, Paşa’nın damadının eski komutanları Hüsamettin çıkmasıyla zor anlar yaşarlar. Fakat sadece bu da değildir! Aynı gece evden çalınan elmas, ortalığı iyiden iyiye karıştırır. Tatlı sakar ikili elması bulabilecek midir? Yeşilçam sinemasının en eğlenceli yapıtlarından biri olan film özellikle içerisindeki kült karakterlerle, kült komedi filmlerinden biri olarak hafızalara kazınmıştır. Ertem Eğilmez’in yönettiği filmin oyuncu kadrosunda Kemal Sunal, Şener Şen, Halit Akçatepe, Adile Naşit ve Ayşen Gruda gibi bilhassa komedi türünde efsaneleşmiş değerli oyuncular var.",['Komedi'],7 Kasım 2021,"['Şener Şen', 'Adile Naşit', 'Ayşen Gruda']",['Ertem Eğilmez'],https://tr.web.img2.acsta.net/c_310_420/pictures/17/12/05/10/42/2644441.jpg
Yedi Samuray,"Yedi Samuray, haydutların saldırdığı fakir bir köyü korumaya çalışan samurayların hikayesini anlatıyor. Usta Samurai Kambei’nin cesareti ve fedakarlığına şahit bir grup köylü ondan sürekli olarak haydutlardan köylerini korumasını isterler. Kambei bu isteği herhangi bir çıkarı olmamasına rağmen kabul eder ve ilk olarak kısa süre sonra müridi olan genç samurai Katsushiro’yu, ardından da güç kullanmaya meraklı bir samurai olarak görünen, fakat sonradan bir çiftçinin oğlu olduğu ortaya çıkan Kikuchiyo’yu yanına alır.Takımına dört yeni samurai daha ekleyerek köyü savunmaya girişen Kambei köylüler tarafından heyacanla karşılanır,herkesin sevgisini kazanır; bir süre sonra onlara kendilerini savunmayı öğretmeye başlar. Bu arada haydutlar köyün sınırlarında dolaşmakta ve yeni saldırıları için uygun bir zaman kollamaktadırlar...Akira Kurosawa’nın kariyerinin doruk noktası olarak görülen Yedi Samuray üç saati geçen uzunluğuna rağmen özellikle zamanında kaliteli örneklerine rastlamanın zor olduğu savaş ve 'aksiyon' sahneleri en dikkatsiz seyircinin bile ilgisini ayakta tutacak pek çok detay içerirken bir yandan da anlattığı hikayenin bütünlüğünden ve sinematografik kaliteden ödün vermeyen bir başyapıt.","['Macera', 'Aksiyon']",None,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima']",['Akira Kurosawa'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/297.jpg
Yağmur Adam,"Çoğumuz, muhtemelen Rainman filmine dek ""otizm"" kavramına yabancıydık. İşte, muhteşem ikili Dustin Hoffman ve Tom Cruise'un, gerçekten harika bir ikili performans gösterdiği, birbiriyle tamamen zıt karakterli iki kardeşi canlandırdığı ""Yağmur Adam"", artık bir klasik olarak kabul ediliyor çoğu sinema otoritesi tarafından... Filmde Los Angeles’ta maddiyate dayalı bir hayat süren fırlama Charlie ile değişik bir hastalığa sahip Raymond'un dramatik ama aynı zamanda komik de olabilen serüvenleri anlatılıyor. Serseri Charlie, yıllardır uzak kaldığı babasının ölümü üzerine 3 milyon dolarlık mirastan yararlanacağını düşünerek hayaller kurar. Oysa kendisine sadece 1949 model bir Buick bırakan babası, servetin tamamını Charlie’nin daha önce varlığından haberdar olmadığı ağabeyi Raymond’a bırakmıştır. Önemli bir ayrıntı ise, Raymond’un bakıma muhtaç, otistik bir dahi olmasıdır! Maddiyatçı Charlie mirasın en azından bir kısmından vazgeçmek niyetinde değildir. Bunun için Raymond’u kaldığı klinikten kaçırıp ülke çapında bir seyahate çıkarır. Yol boyunca ağabeyinin yaşamı zorlaştıran alışkanlıklarıyla çileden çıksa da otistik adamın matematik ve hafızalama konusundaki insanüstü yeteneği karşısında bol bol hayrete düşer. Nihayetinde Las Vegas’taki kumarhanelerde bu az bulunan kabiliyetten yararlanarak hile yapmaya bile çalışır. Yol boyunca Charlie, sadece Raymond’u değil, geçmişinin bir parçasını ve belki de kendini keşfetme fırsatı da bulacaktır. Dört adet Oscar heykelciği yönetmen Barry Levinson’a, senarist Ronald Bass’a, başroldeki Dustin Hoffman’a ve elbette Yağmur Adam filminin kendisine layık görülmüştü. Tom Cruise ise ödül töreninden eli boş dönmüştü...",['Dramatik komedi'],None,"['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino']",['Barry Levinson'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/4572.jpg
Başlangıç,"Leonardo DiCaprio bu yapımda, çok yetenekli bir hırsız olan ""Dom Cobb "" ile karşımızda. Uzmanlık alanı, zihnin en karanlık ve savunmasız olduğu rüya görme anında, bilinçaltının derinliklerindeki değerli sırları çekip çıkarmak ve onları çalmaktır. Cobb'un bu nadir insanlarda görülebilecek yeteneği, bu ender rastgelinebilecek mahareti, onu kurumsal casusluğun tehlikeli yeni dünyasında aranan bir oyuncu yapmıştır. Aynı zamanda bu durum onu uluslararası bir kaçak yapmış ve sevdiği herşeye malolmuştur. Cobb'a içinde bulunduğu durumdan kurtulmasını sağlayacak bir fırsat sunulur. Ona hayatını geri verebilecek son bir iş; tabi eğer imkansız 'başlangıç'ı tamamlayabilirse. Mükemmel soygun yerine, Cobb ve takımındaki profesyoneller bu sefer tam tersini yapmak zorundadır; görevleri bir fikri çalmak değil onu yerleştirmektir. Eğer başarırlarsa, mükemmel suç bu olacaktır.","['Bilimkurgu', 'Gerilim']",30 Temmuz 2010,"['Leonardo DiCaprio', 'Marion Cotillard', 'Elliot Page']",['Christopher Nolan'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/143692.jpg
Karayip Korsanları: Siyah İnci’nin Laneti,"Karayip Korsanları: Siyah İnci’nin Laneti, genç bir kızı kurtarmaya çalışan korsan Jack Sparrow ile demirci Will Turner'ın maceralarını anlatıyor. Yerel vali Weatherby Swann'ın 12 yaşındaki kızı Elizabeth, Jamaica'ya yaptığı deniz yolculuğu esnasında bir gemi enkazıyla karşılaşırlar. Bu enkazdan kurtulabilen tek kişi küçük Will'dır. Elizabeth küçük çocuğun boynundaki altın madalyondan onun bir korsan olduğunu anlar, bu yüzden madalyonu alarak saklar. Yıllar sonra Elizabeth, azılı bir korsan olan Barbossa tarafından kaçırılır. Çılgın ve iyi yürekli bir korsan olan Jack Sparrow ise Elizabeth'in çocukluk arkadaşı Will Turner'la bir olur ve kızı kurtarmaya çalışırlar. Ancak bu gizemli madalyon hayalet gemiyi harete geçirerek gizemli incinin lanetini canlandıracaktır.","['Aksiyon', 'Fantastik']",31 Ekim 2003,"['Johnny Depp', 'Geoffrey Rush', 'Keira Knightley']",['Gore Verbinski'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/46117.jpg
Ip Man,"1930'lu yılların Çin'inin Foshan bölgesinde çeşitli okullar dövüş sanatlarıyla ilgilenmekte ve birbirlerine karşı yarışmaktadırlar. WingChun dövüş tekniğinin ustası Ip Man, Foshan çevresinin en yetenekli dövüşçüsüdür. Hünerlerini sergilemeyi ve gösteriş yapmayı pek sevmeyen adam öğrenci eğitmeyi de kabul etmez. Tüm günlerini antrenman ve arkadaşları için ayıran Ip Man profesyonel bir dövüşçü olmasa da gizli saklı yapılan yerel dövüşlerde sergilediği hünerlerle önemli bir kesimin ilgisini çekmiş, saygıyla karşılanmıştır. Jin Shanzhao isimli ünlü bir dövüşçüyü yendiğinde ise ünü geniş bir alana yayılır...Bruce Lee’nin ustası Yip Man’in yarı-biyografik hikayesini anlatan film, Yip Man tarafından başarıyla icra edilen savunma tekniği WingChun’un tarihine de yer veriyor.","['Dövüş', 'Biyografik']",None,"['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan']",['Wilson Yip'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/81/29/59/19557319.gif
